loan_id,customer_id,group_id,industry,rating_grade,stage,ead_bn_vnd,pd_12m,lgd,ecl_bn_vnd,dpd,dscr,debt_to_ebitda,ltv,collateral_type,region,tenor_months,product,relationship_manager,annual_revenue_bn_vnd,collateral_value_bn_vnd
L00001,CUST-0001,G012,Real Estate,BB,Stage 1,117.9,0.0501,0.249,1.47,0,2.99,6.33,0.55,Partly Secured,South,18,Project Finance,RM North 1,596.9,214.4
L00002,CUST-0002,G015,Retail,BBB,Stage 2,172.5,0.03,0.325,1.68,0,1.42,5.04,0.77,Secured,South,67,Trade Finance,RM South 1,875.2,224.0
L00003,CUST-0003,G024,Retail,BB,Stage 1,106.3,0.057,0.369,2.24,0,0.9,5.36,0.52,Secured,North,59,Trade Finance,RM North 1,380.1,204.4
L00004,CUST-0004,G019,Energy,A,Stage 1,172.4,0.0121,0.588,1.23,0,0.97,2.67,0.62,Partly Secured,South,43,Project Finance,RM SME 1,476.5,278.1
L00005,CUST-0005,G009,Manufacturing,AAA,Stage 1,129.2,0.004,0.498,0.26,5,2.38,4.26,0.66,Unsecured,North,43,Guarantee,RM SME 1,592.8,195.8
L00006,CUST-0006,G016,Manufacturing,BB,Stage 1,87.2,0.0588,0.555,2.85,0,2.3,2.9,0.62,Secured,North,73,Project Finance,RM North 1,361.6,140.6
L00007,CUST-0007,G016,Manufacturing,BBB,Stage 2,119.3,0.0304,0.404,1.47,30,2.2,6.38,0.85,Secured,North,18,Term Loan,RM SME 1,357.3,140.4
L00008,CUST-0008,G031,Construction,A,Stage 1,173.3,0.0147,0.557,1.42,0,0.2,3.6,0.6,Partly Secured,South,62,Trade Finance,RM South 1,325.4,288.8
L00009,CUST-0009,G002,Agriculture,BB,Stage 1,47.9,0.0591,0.242,0.69,0,0.47,3.88,0.7,Partly Secured,South,26,Project Finance,RM SME 1,214.9,68.4
L00010,CUST-0010,G015,Manufacturing,AAA,Stage 1,77.2,0.0026,0.415,0.08,0,0.8,9.93,0.49,Unsecured,Central,18,Trade Finance,RM North 1,196.8,157.6
L00011,CUST-0011,G008,Construction,BBB,Stage 1,88.6,0.0309,0.486,1.33,0,1.68,6.06,0.37,Partly Secured,Central,49,Project Finance,RM North 1,464.9,239.5
L00012,CUST-0012,G030,Logistics,CCC,Stage 1,69.4,0.2023,0.351,4.93,0,1.57,5.24,0.39,Unsecured,South,82,Project Finance,RM South 1,171.0,177.9
L00013,CUST-0013,G030,Agriculture,B,Stage 1,54.5,0.1426,0.268,2.08,0,1.12,3.56,0.54,Secured,South,64,Term Loan,RM North 1,108.5,100.9
L00014,CUST-0014,G025,Energy,A,Stage 2,128.7,0.0104,0.284,0.38,0,0.99,3.57,0.84,Secured,South,66,Project Finance,RM North 2,620.9,153.2
L00015,CUST-0015,G028,Real Estate,B,Stage 1,123.5,0.1163,0.435,6.25,0,0.96,6.39,0.56,Secured,Central,63,Trade Finance,RM SME 1,261.0,220.5
L00016,CUST-0016,G021,Trading,BBB,Stage 1,98.9,0.0336,0.236,0.78,15,2.13,5.71,0.45,Secured,North,68,Working Capital,RM North 1,219.3,219.8
L00017,CUST-0017,G018,Retail,BBB,Stage 1,212.4,0.0289,0.595,3.65,0,1.18,5.12,0.51,Secured,South,48,Trade Finance,RM SME 1,827.8,416.5
L00018,CUST-0018,G018,Logistics,A,Stage 2,330.8,0.0154,0.389,1.98,30,1.67,3.15,0.51,Unsecured,North,21,Term Loan,RM North 1,1653.4,648.6
L00019,CUST-0019,G003,Construction,BBB,Stage 1,404.2,0.0275,0.244,2.71,0,1.61,7.07,0.48,Secured,North,72,Working Capital,RM North 1,923.9,842.1
L00020,CUST-0020,G004,Retail,BBB,Stage 1,208.1,0.0237,0.571,2.82,30,0.93,6.58,0.38,Secured,South,44,Project Finance,RM South 1,570.5,547.6
L00021,CUST-0021,G008,Technology,BBB,Stage 1,87.8,0.0232,0.592,1.21,5,2.08,6.25,0.49,Secured,North,48,Guarantee,RM SME 1,404.7,179.2
L00022,CUST-0022,G011,Real Estate,A,Stage 1,255.0,0.0158,0.239,0.96,0,1.08,4.54,0.46,Unsecured,North,38,Working Capital,RM North 1,1373.8,554.3
L00023,CUST-0023,G012,Retail,A,Stage 1,138.5,0.0121,0.427,0.72,30,1.59,3.67,0.72,Secured,North,25,Working Capital,RM North 2,485.2,192.4
L00024,CUST-0024,G015,Energy,BBB,Stage 2,137.2,0.0287,0.315,1.24,0,1.25,5.57,0.6,Secured,South,78,Project Finance,FI/Corp RM,284.8,228.7
L00025,CUST-0025,G007,Retail,AA,Stage 1,75.5,0.0068,0.445,0.23,15,2.24,0.5,0.65,Partly Secured,South,68,Guarantee,FI/Corp RM,117.5,116.2
L00026,CUST-0026,G018,Real Estate,B,Stage 2,44.9,0.1186,0.282,1.5,0,2.21,4.61,0.74,Secured,Central,58,Guarantee,RM South 1,108.6,60.7
L00027,CUST-0027,G023,Manufacturing,BBB,Stage 1,97.2,0.023,0.417,0.93,30,2.06,5.28,0.56,Secured,North,40,Term Loan,RM South 1,197.1,173.6
L00028,CUST-0028,G026,Real Estate,BBB,Stage 1,103.7,0.0327,0.4,1.36,0,2.18,6.88,0.5,Secured,South,71,Working Capital,RM North 2,436.6,207.4
L00029,CUST-0029,G025,Trading,B,Stage 1,342.3,0.1341,0.512,23.5,0,1.51,0.87,0.76,Secured,Central,51,Guarantee,RM SME 1,680.3,450.4
L00030,CUST-0030,G007,Agriculture,BBB,Stage 1,158.6,0.0335,0.37,1.97,0,1.26,2.35,0.65,Partly Secured,Central,43,Term Loan,RM South 1,559.1,244.0
L00031,CUST-0031,G023,Agriculture,BB,Stage 2,75.9,0.0688,0.379,1.98,90,1.11,5.14,0.54,Secured,South,44,Guarantee,RM North 2,324.6,140.6
L00032,CUST-0032,G016,Trading,BBB,Stage 1,66.4,0.0323,0.37,0.79,15,1.37,3.45,0.55,Secured,South,28,Working Capital,RM North 1,253.9,120.7
L00033,CUST-0033,G029,Construction,BB,Stage 1,104.0,0.0588,0.6,3.67,0,0.81,4.28,0.83,Unsecured,South,18,Guarantee,RM North 1,239.1,125.3
