from_rating,to_rating,probability
AAA,AAA,0.9293
AAA,AA,0.0505
AAA,A,0.0152
AAA,BBB,0.0
AAA,BB,0.0
AAA,B,0.0
AAA,CCC,0.0
AAA,Default,0.0051
AA,AAA,0.04
AA,AA,0.8691
AA,A,0.0599
AA,BBB,0.02
AA,BB,0.0
AA,B,0.0
AA,CCC,0.0
AA,Default,0.011
A,AAA,0.0
A,AA,0.0412
A,A,0.8436
A,BBB,0.072
A,BB,0.0257
A,B,0.0
A,CCC,0.0
A,Default,0.0175
BBB,AAA,0.0
BBB,AA,0.0
BBB,A,0.0424
BBB,BBB,0.8165
BBB,BB,0.0848
BBB,B,0.0318
BBB,CCC,0.0
BBB,Default,0.0244
BB,AAA,0.0
BB,AA,0.0
BB,A,0.0
BB,BBB,0.0438
BB,BB,0.7877
BB,B,0.0985
BB,CCC,0.0383
BB,Default,0.0317
B,AAA,0.0
B,AA,0.0
B,A,0.0
B,BBB,0.0
B,BB,0.0473
B,B,0.7929
B,CCC,0.1183
B,Default,0.0414
CCC,AAA,0.0
CCC,AA,0.0
CCC,A,0.0
CCC,BBB,0.0
CCC,BB,0.0
CCC,B,0.0571
CCC,CCC,0.8845
CCC,Default,0.0585
